crc32	umd_data_title   title
F2936F27	BCUA-0177	Mobile Suit Gundam 00 Special Edition I Celestial Being
848E19EF	BCUA-0178	Mobile Suit Gundam 00 Special Edition II End of World
C67D9628	BCUA-0179	Mobile Suit Gundam 00 Special Edition III Return the World
A57F9AD3	TERMINATOR SALVATION	Terminator Salvation
55F8979A	Thir13en Ghosts	Thir13en Ghosts
38000A46	U2 Rattle and Hum	U2 Rattle and Hum
1E2083FA	13 LOVE 30	13 Going on 30
76ED0D2F	BCUA-0190	Agent Aika Volume 1
A5194D47	BCUA-0191	Agent Aika Volume 2
76ED0D2F	BCUA-0192	Agent Aika Volume 3
42CD6B0F	NFPA-20825	Amadeus
F9ED4675	THE_AMITYVILLE_HORROR	The Amityville Horror
A94E0F25	Anacondas	Anacondas
4005F027	KIUA-33	Azumanga Daioh Volume 1
922EC8AD	KIUA-34	Azumanga Daioh Volume 2
217D38EA	KIUA-35	Azumanga Daioh Volume 3
935986C9	KIUA-36	Azumanga Daioh Volume 4
ED397CF3	KIUA-37	Azumanga Daioh Volume 5
07146934	NFP-74574	Batman Begins
B0927561	NFPK-Y21424	Beowulf
DA95A184	NFPK-Y15982	Blood diamond
68A7FA35	NFPK-Y25557	Body of Lies
DBB7A274	NFPK-Y29411	The Brave One
44A74758	NFPK-F0240	Brave Story
F5FF7109	BIUF-5929	Bunshinsaba
485EA0FD	NFP-59338	Chari to Chokorēto Kojo
2c310dcf	Charlies Angels	Charlie's Angels
F8BF83C1	BCUE-0004	Cho kowai hanashi shirizu inagawa junji no kaidan densetsu ！1
135D1601	Closer	Closer
52BCBC44	BCUA-0214	CODE GEASS Lelouch of the Rebellion R2 volume 01
30A333DB	BCUA-0215	CODE GEASS Lelouch of the Rebellion R2 volume 02
FF15C073	BCUA-0216	CODE GEASS Lelouch of the Rebellion R2 volume 03
B6E23CC4	BCUA-0217	CODE GEASS Lelouch of the Rebellion R2 volume 04
60870B2C	BCUA-0218	CODE GEASS Lelouch of the Rebellion R2 volume 05
1CE75869	BCUA-0220	CODE GEASS Lelouch of the Rebellion R2 volume 07
F1B8A13E	BCUA-0221	CODE GEASS Lelouch of the Rebellion R2 volume 08
3371C0F9	BCUA-0222	CODE GEASS Lelouch of the Rebellion R2 volume 09
336CD52F	BCUA-0205	CODE GEASS Lelouch of the Rebellion volume 01
27A04D84	BCUA-0206	CODE GEASS Lelouch of the Rebellion volume 02
86C899ED	BCUA-0207	CODE GEASS Lelouch of the Rebellion volume 03
E7F1CC7D	BCUA-0208	CODE GEASS Lelouch of the Rebellion volume 04
